조문	현행	개정(안)	비고
별표Ⅰ 입학정원표	현 행\n<별표Ⅰ_입학정원표>\n입학정원표(2027학년도 이후)\n대학 모집단위 2027학년도 입학정원\n자연과학대학 첨단분야계열 바이오헬스융합학부\n(바이오헬스서비스전공) -\n(식품영양학전공) -\n(바이오식품공학전공) 82\n공과대학 공학계열 청정신소재공학과 41\n<신설> -\n창의융합학부 (첨단분야전공) 128\n현 행\n개 정(안)\n비고	개 정(안)\n<별표Ⅰ_입학정원표>(개정 2026. 5. 21.)\n입학정원표(2027학년도 이후)\n대학 모집단위 2027학년도 입학정원\n자연과학대학 첨단분야계열 바이오헬스융합학부\n(바이오헬스서비스전공) 41\n(식품영양학전공) -\n(삭제) -\n공과대학 공학계열 청정신소재공학과 41\n바이오식품공학과 26\n창의융합학부 (첨단분야전공) 143\n현 행\n개 정(안)\n비고	입학정원 조정
부칙	① (시행일) 이 개정 학칙은 2025년 10월 23일부터 시행한다.\n② 바이오식품공학과에 재적 중인 사람은 바이오헬스융합학부 바이오식품공학전공	① (시행일) 이 개정 학칙은 2026년 5월 21일부터 시행한다.\n② (이전 부칙의 개정) 학칙의 이전 부칙 제2항 제1호를 삭제한다.	이전 부칙 제2항 제1호 삭제
